ΚΩΔΙΚΟΣ,ΕΠΟΠΤΕΥΩΝ ΦΟΡΕΑΣ,ΔΙΑΚΡΙΤΙΚΟΣ ΤΙΤΛΟΣ ,ΙΔΙΟΚΤΗΤΗΣ,ΝΟΜΙΜΟΣ ΕΚΠΡΟΣΩΠΟΣ,ΤΑΧΥΔΡΟΜΙΚΗ Δ/ΝΣΗ ΣΧΟΛΕΙΟΥ ,"ΑΡΙΘ. ΑΠΟΦ. ΧΟΡΗΓ. ΑΡΧ. ΑΔΕΙΑΣ, ΦΕΚ ΔΗΜΟΣ.",ΠΑΡΑΤΗΡΗΣΕΙΣ/ ΜΕΤΑΒΟΛΕΣ / ΤΡΟΠΟΠΟΙΗΣΕΙΣ
7541029,Δ/ΝΣΗ Π.Ε. ΠΕΙΡΑΙΑ,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ,ΠΑΥΛΟΠΟΥΛΟΥ ΕΙΡΗΝΗ,ΠΑΥΛΟΠΟΥΛΟΥ ΕΙΡΗΝΗ,ΧΡΥΣ. ΣΜΥΡΝΗΣ 41 Τ.Κ. 18863 ΠΕΡΑΜΑ ΤΗΛ.: 210-4416782,"Φ2ΓΑ/148492/Δ5/14-10-2013,ΦΕΚ 713/Β/20-3-14","ΜΕΤΑΒΙΒΑΣΗ ΚΑΙ ΤΡΟΠΟΠΟΙΗΣΗ 102173/Ν1/19-06-2017 (ΦΕΚ 2215/Β/29-06-2017
"
7541031,Δ/ΝΣΗ Π.Ε. ΠΕΙΡΑΙΑ,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΕΚΠΑΙΔΕΥΤΗΡΙΑ ΜΑΚΡΥΓΙΑΝΝΗ,ΑΝΑΣΤΑΣΙΑ ΤΣΑΚΩΝΑ ΚΑΙ ΣΙΑ ΕΕ,ΤΣΑΚΩΝΑ ΑΝΑΣΤΑΣΙΑ,ΚΑΡΑΟΛΗ ΚΑΙ ΔΗΜΗΤΡΙΟΥ 46 Τ.Κ. 18122 ΤΗΛ.: 210-4950006 6934688424,"Φ2ΓΑ/79348/Δ5/21-5-2014,ΦΕΚ 1524/Β/6-6-14","135489/Ν1/13-08-2018,ΦΕΚ 4091/Β/19-09-2018"
7541033,Δ/ΝΣΗ Π.Ε. ΠΕΙΡΑΙΑ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΠΑΛΑΤΑΚΙ ΜΕΠΕ,ΠΑΛΑΤΑΚΙ ΜΕΠΕ,ΝΙΚΟΛΟΠΟΥΛΟΣ ΑΡΓΥΡΙΟΣ,ΣΥΡΟΥ 48 Τ.Κ. 18122 ΤΗΛ.: 210-4942727 210-4941710,"Φ2ΓΑ/145449/Δ5/9-10-2013,ΦΕΚ 335/Β/13-2-14","ΤΡΟΠΟΠΟΙΗΣΗ 155895/Ν1/19-09-2017 ΦΕΚ 3478/Β/05-10-2017
178304/Ν1/14-11-2019 , ΦΕΚ 4378/Β/29-11-2019"
7541035,Δ/ΝΣΗ Π.Ε. ΠΕΙΡΑΙΑ,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΠΛΑΣΤΕΛΙΝΗ,ΧΟΝΔΡΟΚΟΥΚΗ ΒΕΝΕΤΙΑ ΚΑΙ ΣΙΑ ΟΕ,ΧΟΝΔΡΟΚΟΥΚΗ ΒΕΝΕΤΙΑ,ΜΑΡΚΟΥ ΜΠΟΤΣΑΡΗ 3 Τ.Κ. 18122 ΚΟΡΥΔΑΛΛΟΣ ΤΗΛ.: 210-4940323,"Φ2Β/145732/Δ5/9-10-2013,ΦΕΚ 336/Β/13-2-14","152595/Ν1/01-10-2019 , ΦΕΚ 3767/Β/11-10-2019
108319/Ν1/06-09-2021, ΦΕΚ 4288/Β/16-09-2021"
7541037,Δ/ΝΣΗ Π.Ε. ΠΕΙΡΑΙΑ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΤΑ ΚΥΚΛΑΜΙΝΑ,ΠΑΠΑΜΙΧΟΣ ΗΛΙΑΣ - ΦΟΥΡΟΥ ΑΜΑΛΙΑ ΟΕ,ΠΑΠΑΜΙΧΟΣ ΗΛΙΑΣ ,ΛΕΡΟΥ 11 Τ.Κ. 18758 ΚΕΡΑΤΣΙΝΙ ΤΗΛ.: 210-4010728,"Φ2ΓΑ/197385/Δ5/23-12-2013,ΦΕΚ 403/Β/ 20-2-14","100545/Ν1/18-06-2018 , ΦΕΚ/Β/16-07-2018
138580/Ν1/13-10-2020,ΦΕΚ 4844/Β'/04-11-2020"
7541039,Δ/ΝΣΗ Π.Ε. ΠΕΙΡΑΙΑ,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ- ΕΚΠΑΙΔΕΥΤΗΡΙΑ ΛΑΜΠΙΡΗ,Μ. ΛΑΜΠΙΡΗ ΚΑΙ ΣΙΑ Ο.Ε.,ΤΖΟΥΛΗΣ ΙΩΑΝΝΗΣ,ΕΛΕΥΘ. ΒΕΝΙΖΕΛΟΥ 17 & ΣΜΟΛΕΝΣΚΥ Τ.Κ. 18547 ΝΕΟ ΦΑΛΗΡΟ ΤΗΛ.: 210-4829773 210-4829747,"Φ2ΓΒ/36429/Δ5/12-3-2014,ΦΕΚ 818/Β/ 2-4-14","42955/Ν1/14-04-2021,ΦΕΚ 1704/Β/26-04-2021
36742/Ν1/30-03-2023,  ΦΕΚ 2260/Β/06-04-2023"
7541041,Δ/ΝΣΗ Π.Ε. ΠΕΙΡΑΙΑ,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΑΡΜΕΝΙΚΟΣ ΚΥΑΝΟΥΣ ΣΤΑΥΡΟΣ,ΑΡΜΕΝΙΚΟΣ ΚΥΑΝΟΥΣ ΣΤΑΥΡΟΣ,ΑΒΑΚΙΑΝ ΕΛΙΖ,ΦΛΩΡΙΝΗΣ & ΛΑΜΙΑΣ Τ.Κ. 18542 ΝΙΚΑΙΑ ΤΗΛ.: 210-4906305 210-4934427,"Φ2Α/49645/Δ5/1-4-2014,ΦΕΚ 914/Β/ 11-4-14","ΤΡΟΠΟΠΟΙΗΣΗ 139581/Δ1/08-09-2015 ΦΕΚ 1953/Β/10-09-2015 ΚΑΙ ΤΡΟΠΟΠΟΙΗΣΗ 94532/Ν1/7-06-2017 ΦΕΚ 2092/Β/19-06-2017
77482/Ν1/23-06-2022 , ΦΕΚ 3470/Β/05-07-2022
"
7541043,Δ/ΝΣΗ Π.Ε. ΠΕΙΡΑΙΑ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - Η ΠΑΡΕΟΥΛΑ,Μ. ΧΑΡΑΛΑΜΠΑΚΗ & ΣΙΑ ΟΕ,ΧΑΡΑΛΑΜΠΑΚΗ ΜΑΝΩΛΙΑ,ΜΑΚΕΔΟΝΙΑΣ 33 Τ.Κ. 18121 ΚΟΡΥΔΑΛΛΟΣ ΤΗΛ.: 210-5612464 6977453347,"Φ2ΓΑ/125766/Δ5/10-9-2013,ΦΕΚ 286/Β/10-2-14","ΤΡΟΠΟΠΟΙΗΣΗ 124683/Ν1/21-07-2017 ΦΕΚ 2585/Β/25-07-2017
77830/Ν1/24-06-2022 , ΦΕΚ 3470/Β/05-07-2022"
7541045,Δ/ΝΣΗ Π.Ε. ΠΕΙΡΑΙΑ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΚΟΝΤΡΑΡΟΥ ΟΥΡΑΝΙΑ,ΚΟΝΤΡΑΡΟΥ ΟΥΡΑΝΙΑ,ΚΟΝΤΡΑΡΟΥ ΟΥΡΑΝΙΑ,ΣΟΥΡΗ 3 Τ.Κ. 18547 ΠΕΙΡΑΙΑΣ ΤΗΛ.: 210-4832319,"Φ2ΓΒ/149538/Δ5/15-10-2013,ΦΕΚ 637/Β/13-3-14","2260/Ν1/09-01-2020 , ΦΕΚ 219/Β/03-02-2020
69629/Ν1/14-06-2021 , ΦΕΚ 2924/Β/05-07-2021
"
7541047,Δ/ΝΣΗ Π.Ε. ΠΕΙΡΑΙΑ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΓΙΑΝΝΑΚΗ ΣΤΑΜΑΤΙΝΑ,ΓΙΑΝΝΑΚΗ ΣΤΑΜΑΤΙΝΑ,ΓΙΑΝΝΑΚΗ ΣΤΑΜΑΤΙΝΑ,ΨΑΡΩΝ 69 Τ.Κ. 18120 ΚΟΡΥΔΑΛΛΟΣ ΤΗΛ.: 210-4977763,"Φ2ΓΑ/148584/Δ5/14-10-2013,ΦΕΚ 631/Β/ 13-3-14",
7541049,Δ/ΝΣΗ Π.Ε. ΠΕΙΡΑΙΑ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΚΥΡΑΓΙΑΝΝΗ ΜΑΡΓΑΡΙΤΑ,ΚΥΡΑΓΙΑΝΝΗ ΜΑΡΓΑΡΙΤΑ,ΚΥΡΑΓΙΑΝΝΗ ΜΑΡΓΑΡΙΤΑ,ΣΚΟΥΖΕ 35Α ΚΑΙ ΚΟΥΝΤΟΥΡΙΩΤΟΥ Τ.Κ. 18535 ΠΕΙΡΑΙΑΣ ΤΗΛ.: 210-4284334,"Φ2ΓΒ/186345/Δ5/5-12-2013,ΦΕΚ 385/Β/18-2-14",
7541051,Δ/ΝΣΗ Π.Ε. ΠΕΙΡΑΙΑ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΣΤΡΑΤΑΚΟΥ ΜΑΡΙΑ,ΣΤΡΑΤΑΚΟΥ ΜΑΡΙΑ,ΣΤΡΑΤΑΚΟΥ ΜΑΡΙΑ,ΣΧΙΣΤΗΣ 7 Τ.Κ. 18533 ΚΑΣΤΕΛΛΑ ΤΗΛ.: 217-7302616 6938950848,"Φ2ΓΑ/150673/Δ5/16-10-2013,ΦΕΚ 713/Β/20-3-14","ΤΡΟΠΟΠΟΙΗΣΗ 46400/N1/22-04-2021,ΦΕΚ 1812/Β/29-04-2021"
7541053,Δ/ΝΣΗ Π.Ε. ΠΕΙΡΑΙΑ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΠΛΑΚΑΚΗ ΣΟΥΛΤΑΝΑ,ΠΛΑΚΑΚΗ ΣΟΥΛΤΑΝΑ,ΠΛΑΚΑΚΗ ΣΟΥΛΤΑΝΑ,ΚΟΖΑΝΗΣ 4 Τ.Κ. 18542 ΠΕΙΡΑΙΑΣ ΤΗΛ.: 210-4922340,"Φ2ΓΒ/192618/Δ5/13-12-2013,ΦΕΚ 404/Β/20-02-2014","23435/Ν1/01-03-2021,ΦΕΚ 1092/Β/22-03-2021"
7541055,Δ/ΝΣΗ Π.Ε. ΠΕΙΡΑΙΑ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΓΕΩΡΓΟΠΟΥΛΟΥ ΖΑΧΑΡΟΥΛΑ,ΓΕΩΡΓΟΠΟΥΛΟΥ ΖΑΧΑΡΟΥΛΑ,ΓΕΩΡΓΟΠΟΥΛΟΥ ΖΑΧΑΡΟΥΛΑ,ΑΓΙΟΥ ΠΑΥΛΟΥ 12 Τ.Κ. 18542 Π. ΚΟΚΚΙΝΙΑ ΑΤΤΙΚΗΣ ΤΗΛ.: 210-4922873,"Φ2ΓΑ/149138/Δ5/14-10-2013,ΦΕΚ 632/Β/13-3-14","20051/Ν1/22-02-2021 , ΦΕΚ 857/Β/05-03-2021"
7541057,Δ/ΝΣΗ Π.Ε. ΠΕΙΡΑΙΑ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΤΖΑΝΙΝΗ ΘΕΜΙΣ,ΤΖΑΝΙΝΗ ΘΕΜΙΣ,ΤΖΑΝΙΝΗ ΘΕΜΙΣ,ΠΑΝΕΛΛΗΝΩΝ 12 Τ.Κ. 18539 ΠΕΙΡΑΙΑΣ ΤΗΛ.: 210-4515044,"Φ2ΓΒ/197097/Δ5/23-12-2013,ΦΕΚ 403/Β/20-2-14",
7541059,Δ/ΝΣΗ Π.Ε. ΠΕΙΡΑΙΑ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΜΙΚΡΗ ΓΟΡΓΟΝΑ,ΚΑΛΑΠΟΘΑΚΟΥ ΑΓΓΕΛΙΚΗ,ΚΑΛΑΠΟΘΑΚΟΥ ΑΓΓΕΛΙΚΗ,ΠΕΡΙΣΤΑΣΕΩΣ 21 Τ.Κ. 18450 ΝΙΚΑΙΑ ΤΗΛ.: 210-4916109,"Φ2ΓΒ/167814/Δ5/6-11-2013,ΦΕΚ 382/Β/18-2-14","129907/Ν1/21-08-2019 , ΦΕΚ 3274/Β/28-8-2019"
7541061,Δ/ΝΣΗ Π.Ε. ΠΕΙΡΑΙΑ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΣΚΕΠΕΤΑΡΑ ΠΑΝΑΓΙΩΤΑ,ΣΚΕΠΕΤΑΡΑ ΠΑΝΑΓΙΩΤΑ,ΣΚΕΠΕΤΑΡΑ ΠΑΝΑΓΙΩΤΑ,Δ. ΜΑΛΑΓΑΡΔΗ 90 Τ.Κ. 18120 ΚΟΡΥΔΑΛΛΟΣ ΤΗΛ.: 210-4955430,"Φ2ΓΒ/186342/Δ5/5-12-2013, ΦΕΚ 443/Β/ 24-2-14","161681/Ν1/16-10-2019, ΦΕΚ 4111/Β/12-11-2019 
188999/Ν1/2-12-2019, ΦΕΚ 4778/Β/24-12-2019
88959/Ν1/1-8-2024, ΦΕΚ 4771/Β΄/20-8-2024"
7541063,Δ/ΝΣΗ Π.Ε. ΠΕΙΡΑΙΑ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΤΑ ΔΕΛΦΙΝΑΚΙΑ,Π. ΣΑΡΜΠΑΝΗΣ ΕΤΑΙΡΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΣΑΡΜΠΑΝΗ ΘΕΟΔΩΡΑ,ΚΑΡΑΓΕΩΡΓΗ ΣΕΡΒΙΑΣ 8 Τ.Κ. 18533 ΠΕΙΡΑΙΑΣ ΤΗΛ.: 210-4176180 210-4172586,"Φ2ΓΑ/137155/Δ5/26-9-2013,ΦΕΚ 319/Β/12-2-14","100548/Ν1/18-06-2018,ΦΕΚ 2810/Β/16-07-2018
169901/Ν1/31-10-2019 , ΦΕΚ 4163/Β/14-11-2019
61702/Ν1/31-05-2021 , ΦΕΚ 2477/Β/10-6-2021"
7541065,Δ/ΝΣΗ Π.Ε. ΠΕΙΡΑΙΑ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΠΑΥΛΟΠΟΥΛΟΣ ΣΤΕΦΑΝΟΣ,ΠΑΥΛΟΠΟΥΛΟΣ ΣΤΕΦΑΝΟΣ,ΠΑΥΛΟΠΟΥΛΟΣ ΣΤΕΦΑΝΟΣ,ΧΡ. ΣΜΥΡΝΗΣ 12 -14 Τ.Κ. 18863 ΠΕΡΑΜΑ ΑΤΤΙΚΗΣ ΤΗΛ.: 210-4416782,"Φ2ΓΑ/149564/Δ5/15-10-2013,ΦΕΚ 620/Β/12-3-14",
7541067,Δ/ΝΣΗ Π.Ε. ΠΕΙΡΑΙΑ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΑΥΓΟΥΛΕΑ ΚΥΡΙΑΚΗ,ΑΥΓΟΥΛΕΑ ΚΥΡΙΑΚΗ,ΑΥΓΟΥΛΕΑ ΚΥΡΙΑΚΗ,ΑΡΙΣΤΟΦΑΝΟΥΣ 12 Τ.Κ. 18757 ΚΕΡΑΤΣΙΝΙ ΤΗΛ.: 210-4329412,"Φ2ΓΑ/125783/Δ5/10-9-2013,ΦΕΚ 287/Β/10-2-14",
7541075,Δ/ΝΣΗ Π.Ε. ΠΕΙΡΑΙΑ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΚΑΡΟΥΖΕΛ,ΜΠΕΚΡΗ ΚΥΡΙΑΚΗ - ΚΟΥΡΗ ΜΑΡΙΑ ΟΕ,ΚΟΥΡΗ ΜΑΡΙΑ ,"ΛΕΩΦΟΡΟΣ ΠΑΠΑΝΑΣΤΑΣΙΟΥ 98, ΠΕΙΡΑΙΑΣ ΤΗΛ.: 210-4123872","Φ2ΓΒ/149563/Δ5/15-10-2013,ΦΕΚ 620/Β/ 12-3-14","ΤΡΟΠΟΠΟΙΗΣΗ 120648/Δ1/28-07-2015 ΦΕΚ 1713/Β/17-08-2015
ΔΙΟΡΘΩΣΗ ΣΦΑΛΜΑΤΟΣ: 139047/Ν1/07-09-2015,ΦΕΚ 1950/Β/10-09-2015"
7541079,Δ/ΝΣΗ Π.Ε. ΠΕΙΡΑΙΑ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΜΑΦΑΛΝΤΑ,ΧΑΡΙΤΟΥ ΕΙΡΗΝΗ,ΧΑΡΙΤΟΥ ΕΙΡΗΝΗ,"ΚΑΖΑΝΟΒΑ 32-34 Τ.Κ. 18539 ΠΕΙΡΑΙΑΣ ΤΗΛ.: 210-4539625 , 6942057030 , 6932317940","Φ2ΓΑ/9984/Δ5/24-1-2014,ΦΕΚ 1157/Β/7-5-14",50850/Ν1/2-4-2019 ΦΕΚ 1351/Β/19-04-2019
7541081,Δ/ΝΣΗ Π.Ε. ΠΕΙΡΑΙΑ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΜΕΡΚΟΥΡΗ ΧΡΥΣΟΥΛΑ,ΜΕΡΚΟΥΡΗ ΧΡΥΣΟΥΛΑ,ΜΕΡΚΟΥΡΗ ΧΡΥΣΟΥΛΑ,Π. ΜΑΥΡΟΜΙΧΑΛΗ 168 Τ.Κ. 18546 ΠΕΙΡΑΙΑΣ ΤΗΛ.: 210-4132359,"Φ2ΓΒ/172096/Δ5/13-11-2013,ΦΕΚ  384/Β/18-2-14","3398/Ν1/10-01-2019 , ΦΕΚ 309/Β/07-02-2019
13116/Ν1/03-02-2021,ΦΕΚ 669/Β/22-02-2021"
7541083,Δ/ΝΣΗ Π.Ε. ΠΕΙΡΑΙΑ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΣΙΜΠΑ,Α. ΣΙΒΡΗ ΚΑΙ ΣΙΑ ΟΕ,ΑΝΕΖΩ ΣΙΒΡΗ,ΑΛ. ΖΑΪΜΗ 9 Τ.Κ. 18539 ΠΕΙΡΑΙΑΣ ΤΗΛ.: 210-4538872,"Φ2ΓΒ/79360/Δ5/21-5-2014,ΦΕΚ 1435/Β/4-6-14",
7541087,Δ/ΝΣΗ Π.Ε. ΠΕΙΡΑΙΑ,ΠΡΟΤΥΠΟΣ ΙΔΙΩΤΙΚΟΣ ΠΑΙΔΙΚΟΣ ΣΤΑΘΜΟΣ -ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - Ο ΚΟΣΜΟΣ ΤΩΝ ΖΟΥΖΟΥΝΙΩΝ,ΑΝΤΩΝΙΑ ΚΟΥΝΤΟΥΡΟΓΙΑΝΝΗ - ΑΡΓΥΡΩ ΚΟΥΝΤΟΥΡΟΓΙΑΝΝΗ ΟΕ,ΚΟΥΝΤΟΥΡΟΓΙΑΝΝΗ ΑΡΓΥΡΩ,Μ. ΑΛΕΞΑΝΔΡΟΥ 68 Τ.Κ. 18755 ΚΕΡΑΤΣΙΝΙ ΤΗΛ.: 210-4633808,"Φ2ΓΒ/113317/Δ5/18-7-2014,ΦΕΚ 2077/Β/30-7-14",ΤΡΟΠΟΠΟΙΗΣΗ 108528/Δ1/07-07-2015 ΦΕΚ 1558/Β/24-07-2015
7541089,Δ/ΝΣΗ Π.Ε. ΠΕΙΡΑΙΑ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΧΕΙΜΑΡΙΟΥ ΑΦΕΝΤΡΑ,ΧΕΙΜΑΡΙΟΥ ΑΦΕΝΤΡΑ,ΧΕΙΜΑΡΙΟΥ ΑΦΕΝΤΡΑ,ΟΥΙΛΣΩΝΟΣ 28 Τ.Κ. 18534 ΠΕΙΡΑΙΑΣ ΤΗΛ.: 210-4132032,"146128/Ν1/24-11-2022, ΦΕΚ 6154/Β/05-12-2022",
7541093,Δ/ΝΣΗ Π.Ε. ΠΕΙΡΑΙΑ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΝΑΝΝΩ,ΤΣΑΓΚΑΝΟΣ Γ - ΜΠΑΡΜΑΚΕΛΛΗ ΟΕ,ΜΠΑΡΜΑΚΕΛΛΗ ΑΡΓΥΡΟΥΛΑ,ΠΑΠΑΚΥΡΙΑΖΗ 7 Τ.Κ. 18120 ΔΗΜΟΣ ΚΟΡΥΔΑΛΛΟΥ ΤΗΛ.: 210-4916130,"Φ.2.ΓΒ/141823/Δ5 ΦΕΚ ΔΙΟΡΘΩΣΗΣ 3713/Β/07-10-2019
{Φ.2.ΓΒ/109872/14−7−2014/Α5,ΦΕΚ 2507/Β/22-9-14}
",
7541095,Δ/ΝΣΗ Π.Ε. ΠΕΙΡΑΙΑ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΑΣΤΕΡΟΣΚΟΝΗ SCHOOL,ΘΕΟΔΟΣΙΟΥ ΑΠΟΣΤΟΛΟΣ ,ΘΕΟΔΟΣΙΟΥ ΑΠΟΣΤΟΛΟΣ ,Δ. ΜΑΛΑΓΑΡΔΗ 57 ΚΟΡΥΔΑΛΛΟΣ Τ.Κ.18120 ΤΗΛ.: 210-4940783 210-4949290,"120656/Δ1/28-07-2015,ΦΕΚ 1713/Β/17-08-2015","ΤΡΟΠΟΠΟΙΗΣΗ 154428/Ν1/18-09-2017 ΦΕΚ 3705/Β/20-10-2017
155683/Ν1/07-10-2019 , ΦΕΚ 3793/Β/14-10-2019"
7541097,Δ/ΝΣΗ Π.Ε. ΠΕΙΡΑΙΑ,2Ο ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΚΑΡΟΥΖΕΛ,ΜΠΕΚΡΗ ΚΥΡΙΑΚΗ - ΚΟΥΡΗ ΜΑΡΙΑ ΟΕ,ΚΟΥΡΗ ΜΑΡΙΑ ,ΧΡ. ΣΜΥΡΝΗΣ 24 Τ.Κ. 18547 ΝΕΟ ΦΑΛΗΡΟ ΤΗΛ.: 215-5408740,"136059/Δ1/24-08-2016,ΦΕΚ 2915/Β/13-09-2016",ΤΡΟΠΟΠΟΙΗΣΗ 169466/Δ1/12-10-2016 (ΦΕΚ 3406/Β/21-10-2016
7541099,Δ/ΝΣΗ Π.Ε. ΠΕΙΡΑΙΑ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΣΤΑΘΜΟΥΛΗΣ,ΧΑΤΖΗ ΚΕΡΑΣΟΥΛΑ ,ΧΑΤΖΗ ΚΕΡΑΣΟΥΛΑ ,ΜΙΚΡΑΣ ΑΣΙΑΣ 55Α Τ.Κ. 18756 ΚΕΡΑΤΣΙΝΙ ΤΗΛ.: 2104324110,"94537/Ν1/07-06-2017 ,ΦΕΚ 2118/Β/21-06-2017
","145831/Ν1/19-09-2019 , ΦΕΚ 3612/Β/27-09-2019
ΤΡΟΠΟΠΟΙΗΣΗ 85000/Ν1/14-07-2021, ΦΕΚ 3334/Β/26-07-2021
"
7541101,Δ/ΝΣΗ Π.Ε. ΠΕΙΡΑΙΑ,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΕΛΛΗΝΟΓΑΛΛΙΚΗ ΣΧΟΛΗ JEANNE D'ARC,ΙΕΡΑ ΜΟΝΗ  ΤΟΥ ΑΓΙΟΥ ΙΩΣΗΦ ΤΗΣ ΕΜΦΑΝΙΣΕΩΣ ΤΗΣ ΚΑΘΟΛΙΚΗΣ ΕΚΚΛΗΣΙΑΣ ΘΡΗΣΚΕΥΤΙΚΟ ΝΟΜΙΚΟ ΠΡΟΣΩΠΟ ,ΑΓΝΗ ΠΑΛΑΙΟΛΟΓΟΥ,ΕΛ.ΒΕΝΙΖΕΛΟΥ 9 & ΤΖΕΛΕΠΗ 16 Τ.Κ. 18531 ΠΕΙΡΑΙΑΣ ΤΗΛ.: 210-4190836 210-4179161,"6559/Ν1/16-01-2018 ,ΦΕΚ 283/Β/02-02-2018","20072/Ν1/22-02-2021, ΦΕΚ 857/Β'/05-03-2021
73218/Ν1/ ,ΦΕΚ 2712/Β/25-06-2021"
7541103,Δ/ΝΣΗ Π.Ε. ΠΕΙΡΑΙΑ,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - Ο ΑΝΕΜΟΜΥΛΟΣ,ΧΑΤΖΗΧΑΡΑΛΑΜΠΟΥΣ ΧΑΡΑΛΑΜΠΙΑ,ΧΑΤΖΗΧΑΡΑΛΑΜΠΟΥΣ ΧΑΡΑΛΑΜΠΙΑ,ΔΟΪΡΑΝΗΣ 13 Τ.Κ. 18121 ΚΟΡΥΔΑΛΛΟΣ ΤΗΛ.: 210-5621333,"84617/Ν1/23-05-2018 ,ΦΕΚ 2288/Β/18-06-2018","10052/Ν1/24-01-2020 , ΦΕΚ 297/Β/05-02-2020"
